id,Title,URL du logo,URL de site web,Village,Resume,Theme
137,Cerfrance Loire - Cerfrance Haute-Loire,https://www.levillagebyca.com/sites/default/files/2018-05/LOGO%20CERFRANCE%20baseline%20dessous-OFFICIEL.jpg,https://42.cerfranceconnect.fr/#/login,Loire Haute-Loire,"Réseau de conseil et d'expertise comptable en France qui intervient dans de nombreux secteurs d’activité : Agriculture, Artisanat, Commerce, Services, Professions libérales, Associations, Particuliers, PME, etc.
Chaque année, comme nos 320 000 clients, des créateurs ou dirigeants de TPE se tournent vers Cerfrance pour accompagner, au long cours, tous les aspects de la gestion d‘entreprise : du management aux tâches administratives, en passant par le domaine commercial ou juridique, etc.",Agro-Agri
138,DALKIA,https://www.levillagebyca.com/sites/default/files/2018-04/Logo-dalkia-groupe-edf.jpg,https://www.dalkia.fr/fr,Rouen Vallée de Seine,"Dalkia, leader des services énergétiques, propose des solutions d'efficacité énergétique au cœur de la transition énergétique.","Énergie et environnement, Développement durable, Green tech, Autres, Domaines d’excellence du groupe Crédit Agricole, Énergie et environnement"
139,Groupe Candor,https://www.levillagebyca.com/sites/default/files/2018-04/objet_dynamique_vectoriel_2.png,http://www.groupecandor.fr/,Rouen Vallée de Seine,"Le groupe Candor regroupe cinq sociétés normandes, spécialisées dans l'entretien des locaux, bureaux et le traitement des sols, en Normandie.","Santé et bien être, Autres, Domaines d’excellence du groupe Crédit Agricole, Santé et bien vieillir"
140,D&A Business Development,https://www.levillagebyca.com/sites/default/files/2018-04/D%26A%20Business%20Development.jpg,http://www.dabusinessdev.com/,Rouen Vallée de Seine,"Groupe spécialiste du Business Development, accompagnant ses clients (de la start-up à l'ETI) avec un ensemble de métiers opérationnels pour soutenir et développer leur chiffre d'affaires.","Développement humain et économique, Développement Business, Consulting, Domaines d’excellence du groupe Crédit Agricole, Autres"
141,CGI,https://www.levillagebyca.com/sites/default/files/2018-04/CGI_Logo_color.png,https://www.cgi.fr,Provence Cote d'Azur,Partenaire Ambassadeur,"Consulting, Informatique et électronique, Hardware, Software"
142,Malongo,https://www.levillagebyca.com/sites/default/files/2018-04/logo-malongo.png,https://www.malongo.com/,Provence Cote d'Azur,"Partenaire Ambassadeur

Malongo en un mot: Nous sommes une PME familiale, dynamique et engagée.

Malongo est une entreprise familiale de l’arrière-pays niçois. Nous torréfions 7 000 tonnes de café par an.

Notre éthique de la qualité et l’engagement de nos collaborateurs sont la clé de notre réussite. Notre culture unique de la qualité fonde nos valeurs : respect du produit torréfié, des hommes qui le cultivent, satisfaction de notre clientèle.","Agro-Agri, Food tech, Développement durable, Agriculture et Agroalimentaire"
143,NEC,https://www.levillagebyca.com/sites/default/files/2018-04/nec.png,http://www.fr.nec.com,Normandie,"Commercialisation de solutions d’infrastructures IT, d’affichage numérique, de produits et de solutions de communications en France.",
144,NCI,https://www.levillagebyca.com/sites/default/files/2018-04/NCI.png,http://www.n-ci.com/,Normandie,"Premier investisseur régional indépendant de l’Axe Seine, NCI investit des compétences et des fonds propres dans des projets de création, de développement et de transmission d’entreprises. Ils financent tous les secteurs d’activités dès lors que l’investissement en fonds propres est la réponse au projet porté par le dirigeant.",
145,Caen Normandie Développement,https://www.levillagebyca.com/sites/default/files/2018-04/CND.jpg,https://www.caennormandiedeveloppement.fr/,Normandie,"Accueille des projets de développement économique dans les secteurs de l'automobile, de la santé et de la logistique, du tourisme, de l’agroalimentaire et du numérique. L’agence accompagne les porteurs de projet dans la création et le développement de leur entreprise en facilitant leur implantation et en apportant une expertise.",
146,RÉSEAU ENTREPRENDRE NORMANDIE SEINE & EURE,https://www.levillagebyca.com/sites/default/files/2018-04/logo_vertical_re_couleur_normandie_seine___eure.png,https://www.reseau-entreprendre.org/normandie-seine-et-eure/,Rouen Vallée de Seine,"Réseau Entreprendre, un réseau d'associations de chefs d'entreprise spécialiste de l’accompagnement entrepreneurial. Nous accompagnons les créateurs d'entreprise depuis 1986 dans nos 123 implantations.","Développement humain et économique, Développement Business, Consulting, Domaines d’excellence du groupe Crédit Agricole, Autres"
147,Philips Lighting,https://www.levillagebyca.com/sites/default/files/2018-04/philips.png,http://www.lighting.philips.fr/accueil,,"Depuis 125 ans, Philips Lighting est à la pointe de l'innovation. Nous utilisons la lumière pour accroître le confort et la productivité des personnes, en fournissant éclairage de qualité dans les espaces publics, les espaces de travail et à la maison. Nous utilisons la lumière pour améliorer le bien-être et la sécurité des personnes. Une lumière qui sait divertir, inspirer et informer, qui rend les villes plus agréables et répond aux besoins quotidiens des personnes.",
148,Philips Lighting,https://www.levillagebyca.com/sites/default/files/2018-04/philips_0.png,http://www.lighting.philips.fr/accueil,,"Depuis 125 ans, Philips Lighting est à la pointe de l'innovation. Nous utilisons la lumière pour accroître le confort et la productivité des personnes, en fournissant éclairage de qualité dans les espaces publics, les espaces de travail et à la maison. Nous utilisons la lumière pour améliorer le bien-être et la sécurité des personnes. Une lumière qui sait divertir, inspirer et informer, qui rend les villes plus agréables et répond aux besoins quotidiens des personnes.",
149,Philips Lighting,https://www.levillagebyca.com/sites/default/files/2018-04/philips_2.png,http://www.lighting.philips.fr/accueil,Côtes d'Armor,"Depuis 125 ans, Philips Lighting est à la pointe de l'innovation. Nous utilisons la lumière pour accroître le confort et la productivité des personnes, en fournissant éclairage de qualité dans les espaces publics, les espaces de travail et à la maison. Nous utilisons la lumière pour améliorer le bien-être et la sécurité des personnes. Une lumière qui sait divertir, inspirer et informer, qui rend les villes plus agréables et répond aux besoins quotidiens des personnes.",
150,Armor Angels,,http://www.armorangels.org/,,"Armor Angels est une association loi 1901, créée en 2007. Elle compte 50 adhérents qui ont investi près de 6M€ dans 20 entreprises du département des Côtes d’Armor et des départements limitrophes.

Membre de France Angels ( Fédération nationale des Business Angels ) et membre fondateur de la Coordination régionale Breizh Angels.
 
Sa valeur ajoutée dans l’univers des jeunes entreprises repose sur deux piliers :",
151,Armor Angels,https://www.levillagebyca.com/sites/default/files/2018-04/armor_angels_logo_1_0.jpg,http://www.armorangels.org/,,"Armor Angels est une association loi 1901, créée en 2007. Elle compte 50 adhérents qui ont investi près de 6M€ dans 20 entreprises du département des Côtes d’Armor et des départements limitrophes.

Membre de France Angels ( Fédération nationale des Business Angels ) et membre fondateur de la Coordination régionale Breizh Angels.
 
Sa valeur ajoutée dans l’univers des jeunes entreprises repose sur deux piliers :",
152,Armor Angels,https://www.levillagebyca.com/sites/default/files/2018-04/armor_angels_logo_1_1.jpg,http://www.armorangels.org/,Côtes d'Armor,"Armor Angels est une association loi 1901, créée en 2007. Elle compte 50 adhérents qui ont investi près de 6M€ dans 20 entreprises du département des Côtes d’Armor et des départements limitrophes.

Membre de France Angels ( Fédération nationale des Business Angels ) et membre fondateur de la Coordination régionale Breizh Angels.
 
Sa valeur ajoutée dans l’univers des jeunes entreprises repose sur deux piliers :",
153,CAISSES LOCALES,https://www.levillagebyca.com/sites/default/files/2019-04/Logo_CAISSES-LOCALES.jpg,https://www.ca-reunion.fr/banque-cooperative.html,La Réunion,"Les Caisses locales sont la base de l’organisation coopérative du Crédit Agricole.

Leurs rôles

En premier lieu, elles participent à la gestion de la Caisse régionale dont elles sont elles-mêmes sociétaire. Elle sont également chargées de soutenir le développement local en valorisant des initiatives sur leurs territoires. Les grandes décisions sont prises lors de l’Assemblée générale, un temps fort durant lequel chacun a la possibilité de dialoguer directement avec les dirigeants de sa banque.",
154,CAISSES LOCALES,https://www.levillagebyca.com/sites/default/files/2018-04/Logo_CL-VBCAR.png,https://www.ca-reunion.fr/banque-cooperative.html,,,
155,FDI GROUPE,https://www.levillagebyca.com/sites/default/files/2018-04/GROUPE_QUADRI_1.jpg,https://www.fdi.fr/,Languedoc,"Acteur majeur de l'immobilier régional, FDI Groupe réunit tous les métiers liés à l'immobilier lui permettant d'apporter une réponse globale adaptée aux besoins de chacun et confère à FDI Groupe un savoir-faire unique.","Industrie, Immobilier, Logement"
156,SAP,https://www.levillagebyca.com/sites/default/files/2018-04/t%C3%A9l%C3%A9chargement_1.jpg,https://www.sap.com/france/about/innovation-start-ups.html,Provence Cote d'Azur,"Partenaire Ambassadeur

SAP est au cœur de la révolution technologique actuelle. Leader du marché des applications d'entreprise, SAP aide les entreprises à lutter contre la complexité, à générer de nouvelles opportunités d'innovation et de croissance, et à renforcer la compétitivité.SAP France est particulièrement impliquée dans le projet national Industrie du Futur visant à moderniser l’outil industriel, à transformer son modèle économique et à améliorer l’engagement et la vie au travail pour les salariés.","Développement Business, Cloud, Software, Big data"
157,IFPEN,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20IFPEN-01.png,http://www.ifpenergiesnouvelles.fr/,Atlantique Vendee,"IFP Energies nouvelles est un organisme public de recherche, d'innovation et de formation dans les domaines de l'énergie, du transport et de l'environnement.",
158,Invivo Expertise,https://www.levillagebyca.com/sites/default/files/2019-04/207x61%20CA%20Invivo.png,http://www.invivo-expertises.fr/,Atlantique Vendee,Conseiller des dirigeants industriels en stratégie d’optimisation d’entreprise.,"Développement humain et économique, Développement Business, RH"
159,NEC,https://www.levillagebyca.com/sites/default/files/2018-04/NEC_logo_0.png,https://fr.nec.com,Nord de France,"NEC compte parmi les principaux fournisseurs mondiaux de solutions IT, de réseaux haut-débit, de communications unifiées, de biométrie et d’affichage.",
160,Crédit Agricole Nord de France,https://www.levillagebyca.com/sites/default/files/2018-04/logo_creditagricole_V16.png,https://www.ca-norddefrance.fr,Nord de France,"Au sein d'une région phare de l'Europe et d'un marché bancaire porteur, le Crédit Agricole Nord de France affirme une présence forte sur l'ensemble de ses marchés.",
161,Microsoft,https://www.levillagebyca.com/sites/default/files/2018-04/mslogo.jpg,https://www.microsoft.com/fr-fr,Nord de France,"Leader mondial des logiciels, services et solutions permettant au grand public et aux professionnels d’exprimer tout leur potentiel grâce au numérique.",
162,Sodexo,https://www.levillagebyca.com/sites/default/files/2018-04/sodexo-confirme-objectif.jpg,https://www.sodexo.com/fr/home.html,Nord de France,"Sodexo est le leader mondial des services de Qualité de Vie, facteur essentiel de performance des individus et des organisations.",
163,Yncrea,https://www.levillagebyca.com/sites/default/files/2018-04/yncrea.jpg,https://yncrea.fr,Nord de France,Yncréa est le premier pôle privé associatif d'écoles d'ingénieurs en France.,
164,Université de Lille,https://www.levillagebyca.com/sites/default/files/2018-04/Unknown.png,https://www.univ-lille.fr,Nord de France,"L’Université de Lille, université pluridisciplinaire d’excellence au cœur de l’Europe du Nord, est riche d’un patrimoine culturel et scientifique exceptionnel.",
165,Niji,https://www.levillagebyca.com/sites/default/files/2018-04/tkhKsK01_400x400.jpg,https://www.niji.fr,Nord de France,"Niji est une société de conseil, de design et de technologies entièrement dédiée aux usages de la convergence numérique.",
166,Indosuez,https://www.levillagebyca.com/sites/default/files/2018-04/Indosuez_Wealth_Management_logo.png,https://www.ca-indosuez.com/group/fr/,Nord de France,"Depuis 1875, des femmes et des hommes accordent leur confiance à Indosuez Wealth Management depuis plus d’un siècle pour gérer, protéger et transmettre la fortune qu’ils ont su construire.",
167,IBM,https://www.levillagebyca.com/sites/default/files/2018-04/IBM_0.jpg,https://www.ibm.com/fr-fr/?lnk=m,Nord de France,"IBM est une société présente dans les domaines du matériel informatique, du logiciel et des services informatiques.",
168,IBM,https://www.levillagebyca.com/sites/default/files/2018-04/IBM.jpg,https://www.ibm.com/fr-fr/?lnk=m,,"IBM est une société présente dans les domaines du matériel informatique, du logiciel et des services informatiques.",
169,ANTEDIS,https://www.levillagebyca.com/sites/default/files/2018-04/ANTEDIS.jpg,http://www.antedis.com/prestataire-experimentation-agronomique-partenaire-agree…,Châteaudun,"Depuis sa création (1995), la société connaît un succès croissant sur l'ensemble de ses secteurs d'activité avec une augmentation régulière du volume d'essais réalisés et des clients toujours plus nombreux.","Agro-Agri, Agriculture, Domaines d’excellence du groupe Crédit Agricole, Agriculture et Agroalimentaire"
170,Crédit Agricole Ille-et-Vilaine (Ambassadeur),https://www.levillagebyca.com/sites/default/files/2018-04/logo_CA35.jpg,https://www.ca-illeetvilaine.fr/,Ille et Vilaine,"Banque départementale et coopérative qui fonctionne sur les principes du circuit court, avec 496 administrateurs, 1294 collaborateurs et 114 points de vente.",
171,Niji (Ambassadeur),https://www.levillagebyca.com/sites/default/files/2018-04/logo_niji.png,https://www.niji.fr/,Ille et Vilaine,"Niji est une société de conseil, de design et de technologies entièrement dédiée aux usages de la convergence numérique. Niji accompagne ses clients, acteurs de l’économie marchande et des services publics, dans la transformation digitale de leurs offres de produits et services, de leurs dispositifs omnicanal de relation client et de leurs processus organisationnels. De l’idée à la réalité, Niji associe dans une même chaîne de valeur conseil en stratégie numérique, conseil technologique, design de services et d’applications interactives, et réalisation logicielle clés en main.",Web
172,Valorial (Partenaire),https://www.levillagebyca.com/sites/default/files/2018-04/logo_valorial.jpg,http://www.pole-valorial.fr/,Ille et Vilaine,"Pôle de compétitivité agroalimentaire à vocation nationale, lancé en Bretagne en 2006 et déployé aujourd’hui sur les régions voisines des Pays de la Loire et de la Normandie, Valorial a pour mission d’identifier, de monter et d’accompagner des projets de R&D collaboratifs et innovants.",
173,Videotelling (Partenaire),https://www.levillagebyca.com/sites/default/files/2018-04/logo_Videotelling_0.jpg,https://www.videotelling.fr/,,"VideoTelling est spécialisée dans la vidéo dessinée, type BD. Le principe de la vidéo explicative dessinée est qu'un illustrateur dessine avec un marqueur sur un tableau blanc.

C'est accéléré au montage et une voix narrative est ajoutée qui raconte une histoire délivrant le message.

Regardez notre équipe d'artistes : illustrateurs, comédiens, rédacteurs… qui créeront une vidéo qui racontera parfaitement votre histoire.",
174,Le Shift (Partenaire),https://www.levillagebyca.com/sites/default/files/2018-04/logo_le-shift.png,http://le-shift.co/,Ille et Vilaine,"Une bonne dose d'enthousiasme et de pragmatisme pour aider entrepreneurs et entreprises à innover (intrapreneuriat, hackathon, lean startup, incubateur)",
175,Orange (Partenaire),https://www.levillagebyca.com/sites/default/files/2018-04/logo-orange_0.png,https://www.orange.fr/,Ille et Vilaine,"France Télécom, dénommée Orange depuis le 1ᵉʳ juillet 2013, est une société française de télécommunications.",
176,DUPONT PIONEER,https://www.levillagebyca.com/sites/default/files/2018-07/dupont_pioneer_logo.png,http://www.france.pioneer.com,Toulouse,"Pioneer Hi-Bred, une entreprise DuPont dont le siège se situe à Des Moines, dans l’Iowa, est leader mondial dans le développement et la fourniture de génétique végétale de pointe, de supports agronomiques et de services aux agriculteurs.
Innovante et orientée vers le client, Pioneer® s’évertue à accroître la productivité et la profitabilité des agriculteurs et à développer des systèmes agricoles durables dans le monde entier.","Agro-Agri, Agriculture, Énergie et environnement, Développement durable, Green tech, Domaines d’excellence du groupe Crédit Agricole, Agriculture et Agroalimentaire"
177,HAMON « THERMAL EUROPE France »,https://www.levillagebyca.com/sites/default/files/2018-04/BANDEAU%202_0.jpg,http://www.hamon-watersolutions.com/,Châteaudun,"Hamon, société d’ingénierie, se positionne comme l'un des principaux acteurs mondiaux pour les systèmes de réfrigération. Fort d’une expérience de plus de 100 ans, Hamon propose des solutions innovantes, efficaces, flexibles et respectueuses de l’environnement. 
L'usine de production d’ARROU (28) est spécialisée dans la fabrication de structures alvéolaires en matières plastiques. Nos produits répondent à des besoins dans différents domaines tels que: la gestion des eaux pluviales, le traitement des eaux usées, la réfrigération des eaux industrielles","Énergie et environnement, Industrie"
178,CREDIT AGRICOLE IMMOBILIER,,https://www.ca-immobilier.fr,Toulouse,"Filiale d’un Groupe qui a toujours su accompagner les besoins des Français, Crédit Agricole Immobilier est l’expert immobilier multimétier, qui allie expérience du marché, intelligence des usages et prise en considération de l’humain. Notre mission est de donner du sens aux enjeux du secteur et d’être le tiers de confiance garant de projets de logements et de bureaux utiles aux territoires et aux clients.",
179,CONTINENTAL,https://www.levillagebyca.com/sites/default/files/2018-04/continental.jpg,https://www.continental-corporation.com/fr-fr,Toulouse,"Continental développe des technologies et des services pionniers pour une mobilité durable et connectée des personnes et de leurs biens. Fondée en 1871, la société de technologie offre des solutions sûres, efficaces, intelligentes et abordables pour les véhicules, les machines, le trafic et le transport. En 2017, Continental a réalisé un chiffre d'affaires de 44 milliards d'euros et emploie actuellement plus de 238 000 personnes dans 61 pays.",Mobilité
180,Pôle TES,https://www.levillagebyca.com/sites/default/files/2018-04/logo-pole-tes-2017_0.jpg,https://www.pole-tes.com/,Rouen Vallée de Seine,"Le Pôle TES, pôle de compétitivité numérique de Normandie, a pour vocation d’être la référence en matière d’innovation en haute technologique numérique dans les domaines de la santé, de la collectivité, du tourisme et de l’agriculture, connectés.","Agro-Agri, Agriculture, Informatique et électronique, Cloud, Hardware, Software, Cobotique, Intelligence artificielle, IOT, Big data, Autres, Loisirs, Voyage, Tourisme, Santé et bien être, E-santé, Biotech, Silver economy, Pharmacie, Web, Cybersécurité, Domaines d’excellence du groupe Crédit Agricole, Agriculture et Agroalimentaire, Santé et bien vieillir, Tourisme"
181,IRRIJARDIN,https://www.levillagebyca.com/sites/default/files/2018-04/LOGO.jpg,https://www.irrijardin.fr,Toulouse,"Vente de kits, d'équipements, de dispositifs de sécurité et de produits d'entretien pour piscines, de spas américain (de type Jacuzzi), et de systèmes d'arrosage pour votre jardin. Des conseils et astuces pour vous aider dans vos projets. Des magasins dans toute la France.",Loisirs
182,KALIOP,https://www.levillagebyca.com/sites/default/files/2018-04/LOGO_KALIOP_BLACK_RGB.jpg,http://www.kaliop.fr,Languedoc,Kaliop est un spécialiste de la transformation numérique et de l'innovation,"Finance, Fintech, Informatique et électronique, IOT, Big data, Autres, Web, E-commerce, Réseaux Sociaux, Webmarketing, Agences web, Autres"
183,Cerfrance Alliance Centre,https://www.levillagebyca.com/sites/default/files/2018-04/Bandeau%20village%20by%20CA-%20CER.jpg,https://www.alliancecentre.fr/,Châteaudun,"Cerfrance Alliance Centre, l’expert-comptable pour vous accompagner quel que soit le rythme.
Et si on vous proposait le bon conseil, au bon moment, grâce à des solutions alliant proximité humaine et digitale ?
Cerfrance Alliance Centre c’est l’expert-comptable qui s’adapte et vous conseille dans votre business tout en sécurisant les aspects administratifs et réglementaires. Le partenaire qui vous fait gagner du temps pour vous engager dans une croissance durable.",Développement humain et économique
184,Groupe NICOLLIN,https://www.levillagebyca.com/sites/default/files/2018-04/Logo-GN-WEB.jpg,http://www.groupenicollin.com/,Languedoc,Le Groupe NICOLLIN est une entreprise de services spécialisée dans l’environnement…,"Développement humain et économique, Événementiel, Énergie et environnement, Autres, Industrie, Autres"
185,Nexecur,https://www.levillagebyca.com/sites/default/files/2018-03/nexecur.png,,"Morbihan, Angers",,"Finance, Assurtech"
186,Sopra Steria,https://www.levillagebyca.com/sites/default/files/2019-04/Sopra%20Steria.jpg,,Atlantique Vendee,"Sopra Steria, leader européen de la transformation numérique, propose l’un des portefeuilles d’offres les plus complets du marché : conseil, intégration de systèmes, édition de solutions métier, infrastructure management et business process services.","Hardware, Software, Big data"
187,Olivier Jamault,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20Olivier%20Jamault-01.png,http://jamault.pro/,Atlantique Vendee,"Expert en moyens de paiement depuis 15 ans j’accompagne des entreprises de toutes tailles dans l’audit ou le choix des méthodes et solutions de paiement les plus optimisées pour le projet. 
Indépendant par nature, au service de mon client, je permets de réconcilier paiement, UX et ROI.","Développement humain et économique, Consulting, Finance, Fintech"
188,ManageMaint Energie,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20Managemain%27t%20energies-01.png,https://managemaint.jimdo.com/,Atlantique Vendee,"Mon ambition : réduire vos coûts de dépenses énergétiques, améliorer votre performance environnementale et vous accompagner dans ce projet d’entreprise.","Énergie et environnement, Développement durable, Domaines d’excellence du groupe Crédit Agricole, Énergie et environnement"
189,Vinci Energies,https://www.levillagebyca.com/sites/default/files/2019-04/Vinci%20vectoris%C3%A9.jpg,,Atlantique Vendee,"Connexions, performance, efficience énergétique, datas : dans un monde en évolution permanente, VINCI Energies accélère le déploiement des nouvelles technologies, pour concrétiser deux mutations majeures : la transformation numérique et la transition énergétique.","Énergie et environnement, Développement durable"
190,Steelcase,https://www.levillagebyca.com/sites/default/files/2019-04/Steelcase.jpg,https://www.steelcase.com/eu-fr/,Atlantique Vendee,"Leader mondial, Steelcase développe une vaste gamme de solutions innovantes pour les espaces tertiaires, d’enseignement et de formation, complétée par de nombreux services, dont le conseil ou le recyclage du mobilier en fin de vie. Notre mobilier s’inspire des recherches innovantes en termes de conception d’espaces de travail.
Depuis plus de 105 ans, Steelcase travaille avec les organisations leaders du monde entier, toute industrie confondue, afin de créer des espaces qui amplifient la performance, l’engagement et le bien-être de leurs collaborateurs.","Développement humain et économique, Administratif, Développement Business, Consulting, Éducation, Événementiel, Marketing, Médias, RH, Traduction, Autres, Énergie et environnement, Développement durable, Green tech, Mobilité, Mer, Autres"
191,Bewizyu,https://www.levillagebyca.com/sites/default/files/2019-04/207x161%20Bewizyu-01.png,https://www.bewizyu.com/,Atlantique Vendee,"Nous imaginons, concevons et gérons des interfaces sur supports digitaux afin d’enrichir l’expérience utilisateurs. Nous sommes experts en design de service ainsi que dans les outils et méthodes visant à développer l'intelligence collective au sein d'une entreprise.","Informatique et électronique, Cloud, Hardware, Software, Cobotique, Intelligence artificielle, IOT, Big data, Autres, Web, E-commerce, Réseaux Sociaux, Webmarketing, Cybersécurité, Agences web, Autres"
192,Chambre Régionale d’Agriculture Grand Est,https://www.levillagebyca.com/sites/default/files/2018-03/Logo%20Chambre%20Agri%2054.png,http://www.grandest.chambre-agriculture.fr/,Lorraine,La Chambre Régionale d’Agriculture Grand Est devient Partenaire Ambassadeur du Village by CA Lorraine,"Agro-Agri, Agriculture, Food tech, Pêche, Sylviculture, Autres, Domaines d’excellence du groupe Crédit Agricole, Agriculture et Agroalimentaire, Énergie et environnement"
193,Inneolab,https://www.levillagebyca.com/sites/default/files/2018-03/inneolab.png,http://www.inneolab.com/,Morbihan,Inneolab est une agence de conception de produits. Nous aidons les entreprises à créer de nouveaux produits et à innover par une approche centrée sur les utilisateurs.,"Développement humain et économique, Consulting"
194,XO CONSEIL,https://www.levillagebyca.com/sites/default/files/2018-09/XOCONSEIL-Experience130x95mmHD_op.JPG,http://www.xoconseil.fr/,Morbihan,"Le groupe XO CONSEIL, accompagne sa clientèle dans les domaines de l’expertise comptable, du commissariat aux comptes, de l’audit et du conseil.","Finance, Autres"
195,UBS - Université de Bretagne Sud,https://www.levillagebyca.com/sites/default/files/2018-09/logo%20UBS_op_0.jpeg,http://www.univ-ubs.fr/fr/index.html,Morbihan,"L’Université Bretagne Sud participe à la transformation de l’économie et de la société, en partageant ses connaissances et en formant les acteurs de demain.","Développement humain et économique, Éducation"
196,Microsoft,https://www.levillagebyca.com/sites/default/files/2018-03/microsoft.png,https://www.microsoft.com/fr-fr,Morbihan,"En tant que partenaire de la société numérique française, Microsoft s’engage auprès de ceux qui contribuent chaque jour à sa dynamique pour la rendre plus ouverte et inclusive.","Informatique et électronique, Cloud, Hardware, Software"
197,MGDIS,https://www.levillagebyca.com/sites/default/files/2018-09/mgdis_op.png,http://mgdis.fr,Morbihan,MGDIS accompagne les collectivités territoriales et les établissements sanitaires et médico-sociaux dans la transformation de leurs métiers et des relations qu’ils entretiennent avec les usagers.,"Informatique et électronique, Software"
198,MBway Vannes,https://www.levillagebyca.com/sites/default/files/2018-09/LOGOTYPE-MBway-2015_op.jpg,https://www.mbway.com/,Morbihan,"L’école de management MBway propose des formations de niveau Bac + 3 à Bac + 5 et prépare aux métiers du Management, du Commerce, des Ressources Humaines et de la Communication et du Digital.","Développement humain et économique, Éducation"
199,L'Immobilière d'Entreprise,https://www.levillagebyca.com/sites/default/files/2018-09/LOGO_Immobiliere-Entreprise-horizontal-cmjn.png,https://www.immobiliere-entreprise.fr/,Morbihan,Conseil en immobilier professionnel et commercial sur le territoire de Vannes depuis 1999.,"Industrie, Immobilier"
200,Jurilor,https://www.levillagebyca.com/sites/default/files/2018-03/logo-jurilor.jpg,,Morbihan,Le cabinet JURILOR accompagne depuis plus de 25 ans les chefs d’entreprise dans la création et le développement de leur société/ entreprise. Notre équipe se compose de trois avocats en droit des sociétés et droit fiscal et de 5 assistantes.,"Développement humain et économique, Consulting, Autres"
201,Icam Bretagne,https://www.levillagebyca.com/sites/default/files/2018-09/Logo_ICAM_2008_op.png,https://www.icam.fr/,Morbihan,"L’Icam est une école d’ingénieur qui place l’entreprise au coeur de sa mission, en préparant ses collaborateurs-étudiants à vivre le travail comme une expérience à la fois humaine et technologique.","Développement humain et économique, Éducation"
202,GwenneG,https://www.levillagebyca.com/sites/default/files/2018-03/Gwenneg-RVB.png,https://www.gwenneg.bzh/fr,Morbihan,GwenneG est une plateforme de financement participatif à destination des projets économiques bretons.,"Finance, Autres"
203,Alain Chartier,https://www.levillagebyca.com/sites/default/files/2018-03/chartier.png,https://www.alainchartier.fr/,Morbihan,"Macarons, glacier, pâtissier, chocolat en Bretagne dans le Morbihan.","Loisirs, Cuisine"
204,Bureau Concept,https://www.levillagebyca.com/sites/default/files/2018-09/logo-cmjn_op.jpg,http://www.bureau-concept.fr/,Morbihan,"Créé en Décembre 1998 et spécialisé dans l’aménagement d’espaces professionnels, Bureau Concept est implanté sur les départements 53, 35 et 56. Notre coeur de métier étant l’aménagement de bureau, notre offre s’inscrit dans une démarche globale autour du bureau : audit de vos organisations, préconisation de solutions et fourniture des mobiliers et accessoires.","Industrie, Immobilier"
205,Bretagne Télécom,https://www.levillagebyca.com/sites/default/files/2018-03/bretagne-telecom.png,https://www.bretagnetelecom.com/,Morbihan,"Fondé en 2005, Bretagne Télécom est un Opérateur Cloud français qui accompagne aujourd’hui plus de 3 000 entreprises dans l’externalisation de leur Système d’Information (SI).","Industrie, Télécom"
206,Golfe du Morbihan-Vannes agglomération,https://www.levillagebyca.com/sites/default/files/2018-09/logo-GMVA-quadri_op.png,http://www.golfedumorbihan-vannesagglomeration.bzh/,Morbihan,Golfe du Morbihan-Vannes agglomération est pilote du développement économique sur son territoire en lien avec la région et les acteurs de l’économie.,"Développement humain et économique, Développement Business"
207,SFLD,https://www.levillagebyca.com/sites/default/files/2018-09/LOGO-SFLD_op.png,http://www.sfld.fr/,Morbihan,"Société de Capital Risque, la SFLD est un investisseur en fonds propres sur le département du Morbihan, pour toutes opérations de fonds propres : seed, start-up, LBO, développement.","Finance, Autres"
208,Normand Immobilier,https://www.levillagebyca.com/sites/default/files/2018-09/LOGO-Normand-Immobilier_op.png,,Morbihan,"La Sarl DN1 est une entreprise familiale de promotion immobilière spécialisée dans l’immobilier tertiaire, commercial, de logistique et d’activités.","Industrie, Immobilier"
209,LES TECHNOPOLES DU MORBIHAN,https://www.levillagebyca.com/sites/default/files/2018-09/vipe-technopole_op.png,,Morbihan,"VIPE Vannes et Lorient Technopole, sont engagés depuis plus de 20 ans dans l’accompagnement des entreprises innovantes du département.","Développement humain et économique, Développement Business"
210,LORI S.I.,https://www.levillagebyca.com/sites/default/files/2018-03/lori-bloc-grey-320.png,http://www.lori-si.fr/,Morbihan,"Depuis 1987, LORI SI apporte son professionnalisme dans la vente et l’entretien de matériels N&B et couleur tels que les multifonctions, copieurs, scanners, imprimantes","Informatique et électronique, Hardware"
211,Conserverie la belle-iloise,https://www.levillagebyca.com/sites/default/files/2018-09/belle-iloise_op.png,https://www.labelleiloise.fr/fr/,Morbihan,La Conserverie la belle-iloise est à la fois fabricant et distributeur de conserves de poissons haut de gamme.,"Agro-Agri, Food tech"
212,CCI du Morbihan,https://www.levillagebyca.com/sites/default/files/2018-09/CCIMorbihan_Logo-carre_BR_op.png,https://www.morbihan.cci.fr/,Morbihan,La CCI du Morbihan est une entreprise exclusivement dédiée au développement économique. Elle assure les missions suivantes :,"Développement humain et économique, Développement Business"
